episode,date_id,seed,is_naive,gamma,demand_scale,platoon_factor,experiment_horizon,double_layer_horizon,coeffs_up,coeffs_dn,waits,moves,total
51,20,51,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,26514.0,23071.783820657427,49585.78382065742
52,21,52,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,20082.0,23705.942811951933,43787.94281195193
53,22,53,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,30411.0,22771.225186401156,53182.225186401156
54,23,54,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,26550.0,22647.928436394126,49197.928436394126
55,27,55,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,20793.0,22139.05189356343,42932.05189356343
56,28,56,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,24030.0,22951.466871653098,46981.4668716531
57,29,57,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,31596.0,22088.35752743897,53684.35752743897
58,30,58,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,27744.0,22647.27644998456,50391.276449984565
59,31,59,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,23073.0,22080.53734153639,45153.53734153639
60,15,60,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,27702.0,20488.316518566644,48190.316518566644
61,16,61,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,32733.0,22106.85975318312,54839.85975318312
62,17,62,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,37992.0,21886.354708697694,59878.35470869769
63,20,63,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,25155.0,23427.449727871408,48582.44972787141
64,21,64,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,19578.0,23136.83274731845,42714.83274731845
65,22,65,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,27585.0,22089.41334788864,49674.413347888636
66,23,66,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,26538.0,22447.533334756397,48985.5333347564
67,27,67,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,21780.0,20840.397994424293,42620.39799442429
68,28,68,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,18873.0,23205.98915470767,42078.98915470767
69,29,69,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,32994.0,23149.80202937605,56143.80202937605
70,30,70,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,26697.0,22887.806790592185,49584.806790592185
71,31,71,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,19560.0,23125.782273944427,42685.782273944424
72,15,72,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,43140.0,22650.56601626983,65790.56601626983
73,16,73,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,37908.0,22446.72586951449,60354.725869514485
74,17,74,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,36777.0,22374.99934277054,59151.99934277054
75,20,75,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,22707.0,22743.73434457624,45450.73434457624
76,21,76,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,20895.0,23753.526830413062,44648.52683041306
77,22,77,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,30792.0,23009.16629613874,53801.16629613874
78,23,78,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,27711.0,23146.435389867504,50857.4353898675
79,27,79,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,19074.0,23362.77223648555,42436.77223648555
80,28,80,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,20910.0,23355.87094315529,44265.870943155285
81,29,81,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,30912.0,22105.273436272346,53017.27343627234
82,30,82,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,31152.0,22404.065187130298,53556.0651871303
83,31,83,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,20670.0,22899.38392697842,43569.38392697842
84,15,84,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,30300.0,22487.570146807742,52787.570146807746
85,16,85,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,34548.0,22181.48226398028,56729.48226398028
86,17,86,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,36117.0,22311.888374831586,58428.888374831586
87,20,87,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,22758.0,23220.213924725143,45978.21392472515
88,21,88,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,19890.0,23613.72839540626,43503.72839540626
89,22,89,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,29568.0,22831.813905165996,52399.813905166
90,23,90,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,26016.0,22086.58004616642,48102.58004616642
91,27,91,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,19029.0,22975.557397429515,42004.55739742951
92,28,92,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,22410.0,22921.75173351466,45331.751733514655
93,29,93,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,34224.0,22587.400993171716,56811.400993171716
94,30,94,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,31869.0,22491.90423777445,54360.90423777445
95,31,95,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,23058.0,21701.24955883553,44759.24955883553
96,15,96,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,36495.0,22751.811562393672,59246.811562393676
97,16,97,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,34887.0,22670.495633813876,57557.49563381387
98,17,98,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,33081.0,22387.294137161396,55468.2941371614
99,20,99,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,24957.0,22746.182401357684,47703.182401357684
100,21,100,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,21810.0,22803.932590421933,44613.93259042193
101,22,101,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,26331.0,22847.286792919203,49178.2867929192
